Table Name:,"2001 VBT Residual Standard Select and Ultimate - Male Smoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1120,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Tillinghast, “American Council of Life Insurers: Preferred Version of 2001 CSO Mortality Tables”, Towers Perrin (Atlanta, 2006) Attachment B.1.a.v  Accessed: January, 2013 from http://www.soa.org/2001-CSO-Preferred-Class-Structure-Mortality-Tables.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Residual Standard Select and Ultimate Table - Male Smoker. Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 99. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120,,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: A preferred version of the 2001 Valuation Basic Table (VBT) table (See SOA Table Identities 1148-1153) was not initially constructed as data on preferred risk mortality was considered inadequate at the time. In 2005, the American Council of Life Insurers engaged Tillinghast to develop a version of the 2001 Commissioners Standard Ordinary (CSO) for preferred risks. Tillinghast relied on the initial 1990-95 SOA experience data underlying the 2001 CSO tables (See SOA Table Identities 1136-1141) and 2001 VBT. They then supplemented the information with data from the SOA’s 1996-2001 individual life mortality experience study, the 1994 and 2005 SOA Preferred Risk Underwriting surveys, Tillinghast’s Old Age Mortality Study (TOAMS), Steve Cox’s 2004 article “Does Preferred Wear Off”, and various medical studies for specific health impairments. Methodology: Both the 2001 CSO and 2001 VBT non-smoker mortality tables were split into super-preferred, preferred, and residual standard. The respective CSO and VBT smoker tables were split into preferred and residual standard. Ratios of preferred risk to aggregate risk, as well as the principle of conservation of deaths, were used to accomplish the splits. Estimates were derived for the level of preferred risk early duration mortality and the persistence of preferred risk mortality differentials. The effects of underwriting selection were incorporated by looking at specific health impairments, namely: alcoholism, cholesterol levels, blood pressure and diabetes. The same loading formula for developing the 2001 CSO from the 2001 VBT was used to construct the preferred risk tables. Data Transcription Errors: None. Data Certified: 01/2013",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Residual Standard Select and Ultimate Table - Male Smoker. Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00079,0.00099,0.00114,0.00125,0.00132,0.00138,0.00144,0.00151,0.00159
1,,,,,,,,,,,,,,,,0.00076,0.00095,0.00112,0.00122,0.0013,0.00138,0.00144,0.00151,0.00159,0.00168
2,,,,,,,,,,,,,,,0.00072,0.0009,0.00107,0.00121,0.0013,0.00138,0.00144,0.00151,0.00159,0.00168,0.00176
3,,,,,,,,,,,,,,0.0007,0.00088,0.00105,0.0012,0.0013,0.00138,0.00144,0.00151,0.00159,0.00168,0.00174,0.00182
4,,,,,,,,,,,,,0.0007,0.00088,0.00105,0.0012,0.00129,0.00138,0.00144,0.00151,0.00159,0.00168,0.00174,0.00179,0.00182
5,,,,,,,,,,,,0.00069,0.00088,0.00105,0.0012,0.00129,0.00138,0.00144,0.00151,0.00159,0.00168,0.00174,0.00176,0.00178,0.00181
6,,,,,,,,,,,0.00069,0.00088,0.00105,0.0012,0.00129,0.00138,0.00143,0.0015,0.00159,0.00168,0.0017,0.00173,0.00175,0.00177,0.00179
7,,,,,,,,,,0.00069,0.00088,0.00105,0.0012,0.00129,0.00135,0.00143,0.00148,0.00157,0.00166,0.00168,0.0017,0.00173,0.00175,0.00177,0.00179
8,,,,,,,,,0.00068,0.00088,0.00105,0.00119,0.00128,0.00134,0.00141,0.00147,0.00156,0.00165,0.00168,0.0017,0.00173,0.00175,0.00177,0.00179,0.00182
9,,,,,,,,0.00068,0.00088,0.00105,0.00119,0.00128,0.00134,0.0014,0.00146,0.00152,0.00163,0.00168,0.0017,0.00173,0.00175,0.00177,0.00179,0.00182,0.00186
