Table Name:,"2001 CSO Select and Ultimate - Female Composite, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1139,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,actuary.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"American Academy of Actuaries CSO Task Force, “Final Report of the American Academy of Actuaries’ Commissioners Standard Ordinary Task Force”, American Academy of Actuaries, (2002). Appendix A. Accessed January, 2013 from http://dev.actuary.org/files/CSO_taskforce_appendix_a_june2002.xls",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table - Female Composite.  Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 100. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2001 Commissioners Standard Ordinary (CSO) tables are based on Society of Actuaries’ (SOA) industry mortality experience collected over the years 1990-1995 for companies that participated in the study. Additional data from other sources was used to supplement the data at young and old ages where the experience data was sparse. The mortality was projected to the year 2001 using recent mortality improvement trends. Methodology: The 2001 CSO tables are built from the 2001Valaution Basic Tables (VBT) by adding a loading (See SOA Table Identities 1148-1153). The loading was designed as a margin to provide for variation in mortality risk both over time and among companies as well as unknown variation that could occur that include one-time events, such as a flu epidemic, as well as changes in overall mortality levels that might occur due to things like AIDS or changes in general health conditions. The Academy Task Force developed a loading formula that increases in dollars per $1,000 as the underlying mortality rate increases, but decreases when expressed as a percent as the underlying mortality rate increases. The formula has margins that increase in absolute terms, but decrease in percentage terms, as age increases. The margins also increase in absolute terms as the expectation of life decreases. Data Transcription Errors: None:  Data Certified: 01/2013.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table - Female Composite.  Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 100.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.00048,0.00035,0.00026,0.0002,0.00019,0.00018,0.00018,0.00021,0.00021,0.00021,0.00022,0.00023,0.00027,0.0003,0.00033,0.00035,0.00039,0.00041,0.00043,0.00046,0.00047,0.00048,0.0005,0.0005,0.00052
1,0.00035,0.00026,0.00019,0.00019,0.00018,0.00018,0.0002,0.00021,0.00021,0.00021,0.00023,0.00027,0.00028,0.00032,0.00035,0.00038,0.0004,0.00042,0.00045,0.00047,0.00048,0.0005,0.0005,0.00052,0.00054
2,0.00026,0.00019,0.00019,0.00018,0.00018,0.00018,0.00021,0.00021,0.00021,0.00021,0.00025,0.00027,0.00032,0.00034,0.00037,0.0004,0.00042,0.00045,0.00046,0.00048,0.0005,0.0005,0.00052,0.00054,0.00056
3,0.00019,0.00019,0.00018,0.00018,0.00018,0.00019,0.00021,0.00021,0.00021,0.00024,0.00025,0.00031,0.00034,0.00037,0.00039,0.00041,0.00044,0.00046,0.00047,0.00049,0.0005,0.00052,0.00054,0.00056,0.0006
