Table Name:,"2001 CSO Select and Ultimate - Female Nonsmoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1140,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,actuary.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"American Academy of Actuaries CSO Task Force, “Final Report of the American Academy of Actuaries’ Commissioners Standard Ordinary Task Force”, American Academy of Actuaries, (2002). Appendix A. Accessed January, 2013 from http://dev.actuary.org/files/CSO_taskforce_appendix_a_june2002.xls",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table - Female Nonsmoker. Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 100. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2001 Commissioners Standard Ordinary (CSO) tables are based on Society of Actuaries’ (SOA) industry mortality experience collected over the years 1990-1995 for companies that participated in the study. Additional data from other sources was used to supplement the data at young and old ages where the experience data was sparse. The mortality was projected to the year 2001 using recent mortality improvement trends. Methodology: The 2001 CSO tables are built from the 2001Valaution Basic Tables (VBT) by adding a loading (See SOA Table Identities 1148-1153). The loading was designed as a margin to provide for variation in mortality risk both over time and among companies as well as unknown variation that could occur that include one-time events, such as a flu epidemic, as well as changes in overall mortality levels that might occur due to things like AIDS or changes in general health conditions. The Academy Task Force developed a loading formula that increases in dollars per $1,000 as the underlying mortality rate increases, but decreases when expressed as a percent as the underlying mortality rate increases. The formula has margins that increase in absolute terms, but decrease in percentage terms, as age increases. The margins also increase in absolute terms as the expectation of life decreases. Data Transcription Errors: None:  Data Certified: 01/2013.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table - Female Nonsmoker. Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 100.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
