Table Name:,"2001 CSO Select and Ultimate - Female Smoker, ANB",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1141,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,actuary.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"American Academy of Actuaries CSO Task Force, “Final Report of the American Academy of Actuaries’ Commissioners Standard Ordinary Task Force”, American Academy of Actuaries, (2002). Appendix A. Accessed January, 2013 from http://dev.actuary.org/files/CSO_taskforce_appendix_a_june2002.xls",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table - Female Smoker. Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 100. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2001 Commissioners Standard Ordinary (CSO) tables are based on Society of Actuaries’ (SOA) industry mortality experience collected over the years 1990-1995 for companies that participated in the study. Additional data from other sources was used to supplement the data at young and old ages where the experience data was sparse. The mortality was projected to the year 2001 using recent mortality improvement trends. Methodology: The 2001 CSO tables are built from the 2001Valaution Basic Tables (VBT) by adding a loading (See SOA Table Identities 1148-1153). The loading was designed as a margin to provide for variation in mortality risk both over time and among companies as well as unknown variation that could occur that include one-time events, such as a flu epidemic, as well as changes in overall mortality levels that might occur due to things like AIDS or changes in general health conditions. The Academy Task Force developed a loading formula that increases in dollars per $1,000 as the underlying mortality rate increases, but decreases when expressed as a percent as the underlying mortality rate increases. The formula has margins that increase in absolute terms, but decrease in percentage terms, as age increases. The margins also increase in absolute terms as the expectation of life decreases. Data Transcription Errors: None:  Data Certified: 01/2013.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table - Female Smoker. Basis: Age Nearest Birthday. Minimum Select Age: 0. Maximum Select Age: 100.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00041,0.00046,0.0005,0.00054,0.00058,0.00061,0.00065,0.00067,0.00072
1,,,,,,,,,,,,,,,,0.0004,0.00045,0.00049,0.00053,0.00058,0.00061,0.00065,0.00067,0.00071,0.00075
2,,,,,,,,,,,,,,,0.00039,0.00045,0.00049,0.00053,0.00056,0.00061,0.00065,0.00067,0.00071,0.00075,0.0008
3,,,,,,,,,,,,,,0.00039,0.00043,0.00047,0.00051,0.00056,0.00059,0.00064,0.00067,0.00071,0.00075,0.0008,0.00086
4,,,,,,,,,,,,,0.00039,0.00043,0.00047,0.0005,0.00055,0.00059,0.00064,0.00067,0.00071,0.00075,0.0008,0.00086,0.00092
5,,,,,,,,,,,,0.00038,0.00042,0.00046,0.0005,0.00055,0.00058,0.00064,0.00067,0.00071,0.00075,0.0008,0.00086,0.00092,0.00099
6,,,,,,,,,,,0.00038,0.00042,0.00046,0.00049,0.00054,0.00058,0.00062,0.00067,0.00071,0.00075,0.00079,0.00086,0.00091,0.00098,0.00101
7,,,,,,,,,,0.00038,0.00041,0.00045,0.00049,0.00053,0.00057,0.00062,0.00065,0.00071,0.00075,0.00079,0.00086,0.00091,0.00098,0.00101,0.0011
8,,,,,,,,,0.00037,0.00041,0.00045,0.00048,0.00053,0.00056,0.00061,0.00065,0.0007,0.00075,0.00079,0.00086,0.00091,0.00098,0.00101,0.0011,0.00118
9,,,,,,,,0.00037,0.0004,0.00044,0.00048,0.00051,0.00056,0.0006,0.00064,0.0007,0.00075,0.00079,0.00084,0.00091,0.00098,0.00101,0.0011,0.00118,0.00127
10,,,,,,,0.00035,0.0004,0.00043,0.00047,0.0005,0.00054,0.0006,0.00063,0.00068,0.00074,0.00078,0.00084,0.00091,0.00098,0.00101,0.0011,0.00118,0.00127,0.00139
11,,,,,,0.00034,0.00039,0.00043,0.00045,0.0005,0.00053,0.00058,0.00063,0.00067,0.00074,0.00078,0.00083,0.00089,0.00098,0.00101,0.0011,0.00117,0.00126,0.00137,0.00151
12,,,,,0.00034,0.00038,0.00042,0.00044,0.00049,0.00052,0.00057,0.00061,0.00067,0.00072,0.00076,0.00083,0.00089,0.00096,0.00101,0.0011,0.00117,0.00126,0.00137,0.00151,0.00163
13,,,,0.00034,0.00038,0.0004,0.00043,0.00048,0.0005,0.00056,0.0006,0.00065,0.00071,0.00076,0.00081,0.00089,0.00096,0.00101,0.0011,0.00117,0.00126,0.00137,0.00151,0.00163,0.00176
14,,,0.00034,0.00038,0.00039,0.00042,0.00046,0.00049,0.00054,0.00057,0.00064,0.0007,0.00075,0.00081,0.00088,0.00096,0.00101,0.0011,0.00117,0.00126,0.00137,0.00151,0.00163,0.00174,0.00186
15,,0.00034,0.00038,0.00039,0.00042,0.00045,0.00048,0.00051,0.00056,0.00061,0.00068,0.00073,0.0008,0.00086,0.00094,0.00101,0.0011,0.00117,0.00126,0.00137,0.00151,0.00162,0.00173,0.00185,0.00199
16,0.00034,0.00038,0.00039,0.00041,0.00044,0.00047,0.0005,0.00054,0.0006,0.00065,0.0007,0.00078,0.00085,0.00093,0.00101,0.0011,0.00117,0.00126,0.00137,0.00151,0.00162,0.00173,0.00185,0.00199,0.00211
17,0.00038,0.00039,0.00041,0.00043,0.00045,0.00049,0.00053,0.00058,0.00064,0.00069,0.00076,0.00084,0.00092,0.001,0.0011,0.00117,0.00126,0.00137,0.00151,0.00162,0.00173,0.00185,0.00199,0.00211,0.00225
18,0.00038,0.0004,0.00042,0.00044,0.00048,0.0005,0.00056,0.00063,0.00068,0.00074,0.00082,0.00091,0.00099,0.00109,0.00117,0.00126,0.00137,0.00151,0.00162,0.00173,0.00185,0.00199,0.00211,0.00225,0.00243
19,0.00038,0.00041,0.00043,0.00047,0.00049,0.00054,0.0006,0.00065,0.00073,0.00079,0.00089,0.00098,0.00108,0.00117,0.00126,0.00137,0.00151,0.00162,0.00173,0.00185,0.00199,0.00211,0.00225,0.00243,0.00263
20,0.00038,0.0004,0.00044,0.00047,0.00052,0.00059,0.00064,0.0007,0.00078,0.00086,0.00096,0.00107,0.00117,0.00126,0.00137,0.00151,0.00162,0.00173,0.00185,0.00199,0.00211,0.00225,0.00243,0.00263,0.00286
21,0.00036,0.0004,0.00044,0.00049,0.00055,0.00061,0.00069,0.00075,0.00085,0.00093,0.00103,0.00114,0.00124,0.00137,0.00148,0.00161,0.00172,0.00185,0.00198,0.00211,0.00225,0.00243,0.00263,0.00286,0.00313
22,0.00036,0.00039,0.00046,0.00052,0.00058,0.00065,0.00073,0.00082,0.00092,0.00102,0.00112,0.00123,0.00134,0.00146,0.00158,0.0017,0.00183,0.00197,0.0021,0.00225,0.00243,0.00263,0.00286,0.00313,0.00343
23,0.00034,0.0004,0.00046,0.00053,0.00061,0.00069,0.00078,0.00088,0.00098,0.00109,0.00119,0.00133,0.00143,0.00156,0.00167,0.0018,0.00193,0.00209,0.00225,0.00243,0.00263,0.00286,0.00313,0.00343,0.00381
24,0.00034,0.00042,0.00048,0.00056,0.00064,0.00074,0.00083,0.00093,0.00105,0.00116,0.00129,0.00139,0.00153,0.00163,0.00176,0.00192,0.00205,0.00222,0.00242,0.00263,0.00286,0.00313,0.00343,0.00381,0.00428
25,0.00034,0.00042,0.0005,0.00059,0.00069,0.00078,0.0009,0.001,0.00112,0.00124,0.00136,0.00147,0.00159,0.00173,0.00186,0.00203,0.00219,0.00238,0.00262,0.00286,0.00313,0.00343,0.00381,0.00428,0.00481
26,0.00034,0.00043,0.00053,0.00062,0.00072,0.00083,0.00095,0.00105,0.00118,0.00131,0.00144,0.00154,0.00169,0.00183,0.00198,0.00216,0.00237,0.00259,0.00286,0.00313,0.00343,0.00381,0.00428,0.00481,0.00539
27,0.00037,0.00046,0.00056,0.00065,0.00077,0.00088,0.00098,0.00111,0.00124,0.00137,0.00149,0.00163,0.00178,0.00195,0.00212,0.00233,0.00257,0.00283,0.00313,0.00343,0.00381,0.00428,0.00481,0.00539,0.00602
28,0.0004,0.00049,0.00059,0.0007,0.0008,0.00091,0.00104,0.00116,0.0013,0.00142,0.00157,0.00173,0.0019,0.00207,0.00228,0.00254,0.00279,0.00311,0.00343,0.00381,0.00428,0.00481,0.00539,0.00602,0.00671
29,0.00043,0.00054,0.00063,0.00073,0.00085,0.00097,0.00108,0.00123,0.00135,0.0015,0.00165,0.00183,0.00202,0.00223,0.00249,0.00276,0.0031,0.00343,0.00381,0.00428,0.00481,0.00539,0.00602,0.00671,0.00744
30,0.00047,0.00057,0.00066,0.00078,0.00089,0.00101,0.00114,0.00126,0.00141,0.00158,0.00175,0.00195,0.00217,0.00243,0.00272,0.00304,0.00343,0.00381,0.00428,0.00481,0.00539,0.00602,0.00671,0.00744,0.00824
31,0.00052,0.00061,0.00071,0.00082,0.00094,0.00107,0.00119,0.00134,0.00149,0.00168,0.00187,0.0021,0.00238,0.00267,0.00301,0.00339,0.00381,0.00428,0.00481,0.00539,0.00602,0.00671,0.00744,0.00824,0.00908
32,0.00055,0.00064,0.00075,0.00087,0.00098,0.00112,0.00127,0.00142,0.00161,0.00182,0.00205,0.00232,0.00261,0.00295,0.00335,0.00378,0.00428,0.00481,0.00539,0.00602,0.00671,0.00744,0.00824,0.00908,0.00998
33,0.00058,0.00068,0.00078,0.00091,0.00105,0.0012,0.00136,0.00154,0.00174,0.00199,0.00227,0.00256,0.00291,0.00329,0.00374,0.00423,0.00477,0.00539,0.00602,0.00671,0.00744,0.00824,0.00908,0.00998,0.01094
34,0.0006,0.0007,0.00083,0.00096,0.00111,0.00128,0.00146,0.00169,0.00192,0.0022,0.0025,0.00286,0.00326,0.00369,0.00417,0.00473,0.00534,0.00602,0.00671,0.00744,0.00824,0.00908,0.00998,0.01094,0.01187
