Table Name:,2015 VBT Male Smoker RR75 ALB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3257,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Society of Actuaries website, 2015 Valuation Basic Tables. Accessed: March, 2016 from https://www.soa.org/resources/experience-studies/2015/2015-valuation-basic-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 Valuation Basic Table (VBT) Relative Risk Table - Male 75%, Smoker, Age Last Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2015 VBT was developed based on the mortality experience from the SOA Individual Life Experience Committee studies from the 2002-2009 study period. Additional data from other sources was used to supplement the 2002-2009 experience at younger and older ages where industry experience was sparse.To develop the 2015 VBT table, the mortality was projected from March 1st, 2006 to July 1st, 2015, using recent mortality improvement trends. Data Certified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 VBT Relative Risk Table - Male 75% Smoker, Age Last Birthday, Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00064,0.00067,0.00069,0.00072,0.00075,0.00077,0.0008,0.00081,0.00081,0.0008,0.00079,0.00078,0.0008,0.00085,0.00091,0.00098,0.00105,0.00114,0.00124,0.00137,0.00152,0.00172,0.00193,0.00215,0.00236
19,0.00061,0.00063,0.00065,0.00068,0.0007,0.00073,0.00075,0.00075,0.00075,0.00074,0.00074,0.00076,0.00081,0.00087,0.00094,0.00101,0.0011,0.0012,0.00133,0.0015,0.0017,0.00191,0.00213,0.00233,0.00251
20,0.00058,0.0006,0.00062,0.00064,0.00066,0.00068,0.00069,0.0007,0.0007,0.0007,0.00073,0.00077,0.00083,0.0009,0.00098,0.00106,0.00115,0.0013,0.00148,0.00167,0.00189,0.00211,0.00231,0.00249,0.00264
21,0.00053,0.00055,0.00057,0.00058,0.00061,0.00063,0.00064,0.00065,0.00066,0.00069,0.00073,0.00079,0.00086,0.00094,0.00102,0.00111,0.00127,0.00146,0.00165,0.00186,0.00208,0.00229,0.00246,0.00261,0.00277
22,0.00049,0.0005,0.00051,0.00054,0.00058,0.00059,0.0006,0.00062,0.00065,0.0007,0.00076,0.00083,0.0009,0.00098,0.00108,0.00124,0.00144,0.00162,0.00183,0.00206,0.00226,0.00244,0.00258,0.00275,0.00295
23,0.00045,0.00046,0.00048,0.00052,0.00054,0.00056,0.00058,0.00061,0.00066,0.00072,0.00079,0.00086,0.00094,0.00104,0.0012,0.00141,0.00159,0.0018,0.00202,0.00223,0.00241,0.00256,0.00272,0.00292,0.00313
24,0.00041,0.00044,0.00046,0.00049,0.00051,0.00054,0.00057,0.00062,0.00068,0.00075,0.00082,0.0009,0.00099,0.00115,0.00137,0.00156,0.00176,0.00198,0.0022,0.00238,0.00254,0.0027,0.00289,0.00311,0.00334
25,0.00038,0.00042,0.00044,0.00047,0.00049,0.00053,0.00058,0.00064,0.00071,0.00079,0.00086,0.00095,0.00109,0.00131,0.00151,0.00172,0.00194,0.00215,0.00235,0.00251,0.00268,0.00287,0.00308,0.00331,0.00356
26,0.00035,0.0004,0.00042,0.00045,0.00049,0.00054,0.00061,0.00068,0.00075,0.00083,0.00092,0.00102,0.00123,0.00144,0.00166,0.00188,0.00211,0.00231,0.00248,0.00266,0.00285,0.00306,0.00329,0.00354,0.00382
27,0.00032,0.00038,0.00041,0.00045,0.00051,0.00057,0.00064,0.00071,0.0008,0.00089,0.00098,0.00112,0.00135,0.00159,0.00181,0.00204,0.00225,0.00243,0.00262,0.00283,0.00303,0.00326,0.00351,0.00379,0.00411
28,0.00029,0.00037,0.00042,0.00048,0.00054,0.00061,0.00068,0.00076,0.00085,0.00095,0.00108,0.00123,0.00149,0.00173,0.00195,0.00216,0.00236,0.00256,0.0028,0.00301,0.00324,0.00348,0.00376,0.00408,0.00444
29,0.00028,0.00038,0.00046,0.00053,0.0006,0.00067,0.00074,0.00081,0.00091,0.00104,0.00119,0.00135,0.00161,0.00184,0.00205,0.00225,0.00248,0.00273,0.00298,0.00321,0.00346,0.00374,0.00405,0.00441,0.00481
30,0.00028,0.0004,0.0005,0.00058,0.00066,0.00073,0.00079,0.00087,0.001,0.00115,0.00131,0.00147,0.00172,0.00194,0.00213,0.00236,0.00264,0.00291,0.00318,0.00343,0.00371,0.00402,0.00437,0.00477,0.00522
31,0.00028,0.00042,0.00055,0.00064,0.00072,0.00078,0.00085,0.00095,0.0011,0.00127,0.00143,0.00158,0.00181,0.00201,0.00223,0.00251,0.00281,0.0031,0.0034,0.00368,0.00399,0.00434,0.00473,0.00518,0.00568
32,0.00029,0.00044,0.00058,0.00068,0.00077,0.00084,0.00092,0.00104,0.00121,0.00139,0.00154,0.00168,0.0019,0.00212,0.00237,0.00268,0.00301,0.00332,0.00365,0.00396,0.00431,0.0047,0.00514,0.00564,0.00621
33,0.00029,0.00046,0.00061,0.00072,0.00081,0.0009,0.001,0.00115,0.00132,0.0015,0.00161,0.00177,0.002,0.00226,0.00254,0.00287,0.00323,0.00357,0.00393,0.00427,0.00466,0.0051,0.00559,0.00616,0.00681
34,0.0003,0.00047,0.00064,0.00074,0.00084,0.00096,0.00109,0.00125,0.00142,0.00157,0.00167,0.00188,0.00214,0.00243,0.00273,0.00308,0.00347,0.00385,0.00424,0.00463,0.00506,0.00555,0.00611,0.00677,0.00751
35,0.00031,0.00049,0.00068,0.00077,0.00089,0.00103,0.00119,0.00135,0.0015,0.00161,0.00179,0.00202,0.00231,0.00261,0.00294,0.00333,0.00375,0.00416,0.0046,0.00503,0.00551,0.00607,0.00672,0.00746,0.0083
36,0.00032,0.00051,0.00072,0.00083,0.00097,0.00112,0.00128,0.00143,0.00152,0.0017,0.00194,0.00219,0.0025,0.00283,0.00319,0.00361,0.00407,0.00451,0.005,0.00548,0.00603,0.00668,0.00742,0.00825,0.00922
