Table Name:,2015 VBT Male Smoker RR100 ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3262,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Society of Actuaries website, 2015 Valuation Basic Tables. Accessed: March, 2016 from https://www.soa.org/resources/experience-studies/2015/2015-valuation-basic-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 Valuation Basic Table (VBT) Relative Risk Table - Male 100%, Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2015 VBT was developed based on the mortality experience from the SOA Individual Life Experience Committee studies from the 2002-2009 study period. Additional data from other sources was used to supplement the 2002-2009 experience at younger and older ages where industry experience was sparse. To develop the 2015 VBT table, the mortality was projected from March 1st, 2006 to July 1st, 2015, using recent mortality improvement trends. Data Certified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 VBT Relative Risk Table - Male 100%, Smoker, Age Nearest Birthday, Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00069,0.00072,0.00075,0.00077,0.0008,0.00083,0.00086,0.00088,0.00088,0.00087,0.00085,0.00084,0.00084,0.00087,0.00093,0.001,0.00107,0.00116,0.00127,0.00137,0.0015,0.00169,0.0019,0.00214,0.00236
19,0.00065,0.00067,0.0007,0.00073,0.00075,0.00078,0.00081,0.00081,0.00081,0.0008,0.00079,0.0008,0.00084,0.00089,0.00096,0.00104,0.00112,0.00122,0.00132,0.00148,0.00167,0.00189,0.00212,0.00235,0.00255
20,0.00063,0.00065,0.00067,0.00069,0.00071,0.00074,0.00075,0.00076,0.00075,0.00075,0.00076,0.0008,0.00086,0.00093,0.001,0.00108,0.00118,0.00128,0.00147,0.00166,0.00188,0.00211,0.00233,0.00253,0.00271
21,0.00058,0.0006,0.00062,0.00064,0.00066,0.00069,0.0007,0.0007,0.00071,0.00072,0.00076,0.00082,0.00089,0.00097,0.00105,0.00115,0.00124,0.00146,0.00164,0.00186,0.00209,0.00232,0.00252,0.00269,0.00283
22,0.00054,0.00056,0.00057,0.00059,0.00063,0.00065,0.00066,0.00066,0.00068,0.00072,0.00078,0.00085,0.00093,0.00101,0.00111,0.0012,0.00144,0.00162,0.00184,0.00207,0.0023,0.00251,0.00268,0.00281,0.00302
23,0.0005,0.0005,0.00051,0.00056,0.00059,0.00061,0.00062,0.00064,0.00069,0.00075,0.00082,0.00089,0.00097,0.00107,0.00117,0.00142,0.0016,0.00181,0.00205,0.00228,0.00249,0.00266,0.0028,0.003,0.00322
24,0.00046,0.00048,0.0005,0.00054,0.00056,0.00058,0.00061,0.00065,0.00071,0.00078,0.00086,0.00093,0.00103,0.00113,0.00139,0.00158,0.00179,0.00202,0.00225,0.00247,0.00265,0.00278,0.00299,0.0032,0.00344
25,0.00042,0.00046,0.00048,0.00051,0.00054,0.00057,0.00061,0.00067,0.00074,0.00082,0.0009,0.00099,0.00109,0.00134,0.00154,0.00175,0.00198,0.00222,0.00244,0.00263,0.00278,0.00299,0.0032,0.00344,0.00369
26,0.00039,0.00044,0.00046,0.00049,0.00053,0.00058,0.00064,0.00071,0.00079,0.00087,0.00096,0.00105,0.00126,0.00148,0.0017,0.00194,0.00219,0.00241,0.00261,0.00277,0.00299,0.00319,0.00343,0.00368,0.00396
27,0.00036,0.00042,0.00045,0.00049,0.00054,0.0006,0.00068,0.00075,0.00083,0.00093,0.00102,0.00115,0.0014,0.00164,0.00189,0.00213,0.00237,0.00258,0.00275,0.00299,0.00319,0.00342,0.00368,0.00396,0.00429
28,0.00033,0.0004,0.00045,0.0005,0.00056,0.00064,0.00072,0.0008,0.0009,0.001,0.00112,0.00128,0.00156,0.00182,0.00207,0.0023,0.00253,0.00271,0.00296,0.00318,0.00342,0.00367,0.00396,0.00428,0.00465
29,0.00032,0.00041,0.00048,0.00055,0.00063,0.0007,0.00078,0.00087,0.00096,0.00109,0.00124,0.00142,0.00171,0.00197,0.00221,0.00244,0.00265,0.00291,0.00318,0.00341,0.00367,0.00395,0.00428,0.00464,0.00505
30,0.00031,0.00043,0.00053,0.00061,0.0007,0.00077,0.00085,0.00093,0.00105,0.00121,0.00138,0.00157,0.00185,0.0021,0.00232,0.00254,0.00283,0.00312,0.00341,0.00366,0.00395,0.00427,0.00464,0.00505,0.00551
31,0.00032,0.00046,0.00059,0.00068,0.00077,0.00084,0.00091,0.00101,0.00116,0.00135,0.00153,0.00171,0.00198,0.00221,0.00241,0.00271,0.00303,0.00334,0.00366,0.00394,0.00427,0.00464,0.00504,0.0055,0.00602
32,0.00032,0.00048,0.00064,0.00074,0.00084,0.0009,0.00099,0.00112,0.00129,0.00149,0.00167,0.00184,0.00209,0.00231,0.00258,0.00291,0.00326,0.00359,0.00394,0.00426,0.00463,0.00504,0.0055,0.00601,0.0066
33,0.00033,0.00051,0.00068,0.0008,0.00089,0.00098,0.00108,0.00124,0.00143,0.00164,0.0018,0.00196,0.00219,0.00247,0.00277,0.00312,0.00351,0.00387,0.00426,0.00463,0.00504,0.00549,0.00601,0.00659,0.00726
34,0.00034,0.00053,0.00071,0.00083,0.00094,0.00106,0.00118,0.00137,0.00157,0.00177,0.00186,0.00206,0.00236,0.00266,0.00299,0.00337,0.0038,0.0042,0.00462,0.00503,0.00549,0.006,0.00658,0.00725,0.00803
35,0.00034,0.00055,0.00076,0.00086,0.001,0.00114,0.00131,0.0015,0.00169,0.00182,0.00197,0.00223,0.00255,0.00288,0.00323,0.00366,0.00412,0.00456,0.00503,0.00548,0.00599,0.00658,0.00724,0.00803,0.00889
36,0.00036,0.00058,0.00081,0.00091,0.00106,0.00124,0.00143,0.00162,0.00175,0.00188,0.00214,0.00242,0.00276,0.00312,0.00351,0.00398,0.00448,0.00496,0.00548,0.00599,0.00657,0.00723,0.00802,0.00888,0.00988
37,0.00038,0.00061,0.00087,0.00101,0.00117,0.00135,0.00154,0.00169,0.00178,0.00206,0.00234,0.00264,0.00301,0.0034,0.00383,0.00434,0.00488,0.00541,0.00598,0.00656,0.00722,0.00802,0.00887,0.00988,0.01102
38,0.00041,0.00067,0.00095,0.00111,0.00128,0.00146,0.00162,0.0017,0.00196,0.00227,0.00256,0.00289,0.00329,0.00373,0.0042,0.00475,0.00534,0.00591,0.00655,0.0072,0.00802,0.00887,0.00988,0.01101,0.01231
39,0.00044,0.00073,0.00104,0.00121,0.00138,0.00154,0.00164,0.00189,0.00218,0.0025,0.00282,0.00318,0.00362,0.00411,0.00463,0.00522,0.00584,0.00647,0.00719,0.00802,0.00886,0.00988,0.01101,0.01231,0.01375
40,0.00049,0.00081,0.00113,0.0013,0.00147,0.00159,0.00183,0.00211,0.00242,0.00276,0.00312,0.00351,0.00401,0.00455,0.00511,0.00574,0.00641,0.00711,0.00802,0.00885,0.00987,0.01101,0.01231,0.01375,0.0153
41,0.00054,0.00089,0.00122,0.00139,0.00154,0.00177,0.00205,0.00236,0.00268,0.00306,0.00345,0.0039,0.00446,0.00505,0.00566,0.00633,0.00705,0.00802,0.00885,0.00987,0.011,0.01231,0.01375,0.0153,0.01704
42,0.00059,0.00097,0.00129,0.00148,0.0017,0.00199,0.0023,0.00263,0.00298,0.0034,0.00383,0.00434,0.00496,0.00561,0.00627,0.00699,0.00801,0.00884,0.00987,0.011,0.01231,0.01375,0.01529,0.01703,0.01892
43,0.00064,0.00104,0.00136,0.00161,0.00189,0.00222,0.00257,0.00293,0.00331,0.00377,0.00427,0.00484,0.00553,0.00624,0.00698,0.00791,0.00883,0.00987,0.011,0.01231,0.01375,0.01528,0.01701,0.01892,0.02087
44,0.00068,0.00111,0.00147,0.00177,0.00211,0.00249,0.00287,0.00325,0.00368,0.0042,0.00476,0.00541,0.00618,0.00696,0.00782,0.00883,0.00987,0.011,0.01231,0.01375,0.01527,0.01699,0.01892,0.02087,0.02293
45,0.00072,0.0012,0.00159,0.00195,0.00235,0.00278,0.00319,0.00361,0.00409,0.00468,0.00532,0.00606,0.00692,0.00779,0.00874,0.00986,0.01099,0.0123,0.01375,0.01527,0.01698,0.01892,0.02087,0.02293,0.02516
46,0.00078,0.00131,0.00174,0.00216,0.00263,0.00309,0.00354,0.004,0.00455,0.00522,0.00597,0.0068,0.00775,0.00873,0.0098,0.01099,0.0123,0.01375,0.01526,0.01696,0.01891,0.02087,0.02292,0.02514,0.02761
