Table Name:,2015 VBT Smoker Distinct Female Non-Smoker ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3266,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Society of Actuaries website, 2015 Valuation Basic Tables. Accessed: March, 2016 from https://www.soa.org/resources/experience-studies/2015/2015-valuation-basic-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 Valuation Basic Table (VBT) Smoker Distinct Table - Female Non-Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2015 VBT was developed based on the mortality experience from the SOA Individual Life Experience Committee studies from the 2002-2009 study period. Additional data from other sources was used to supplement the 2002-2009 experience at younger and older ages where industry experience was sparse. To develop the 2015 VBT table, the mortality was projected from March 1st, 2006 to July 1st, 2015, using recent mortality improvement trends. Data Certified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 VBT Smoker Distinct Table - Female, Non-Smoker, Age Nearest Birthday, Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00028,0.00028,0.00028,0.00029,0.00031,0.00033,0.00034,0.00036,0.0004,0.00046,0.00052,0.00059,0.00067,0.00075,0.00082,0.00085,0.00086,0.00087,0.00087
19,0.00027,0.00027,0.00026,0.00026,0.00026,0.00026,0.00025,0.00025,0.00026,0.00028,0.0003,0.00032,0.00033,0.00036,0.0004,0.00047,0.00056,0.00065,0.00073,0.0008,0.00085,0.00086,0.00087,0.00087,0.00088
20,0.00024,0.00023,0.00024,0.00025,0.00025,0.00024,0.00023,0.00023,0.00025,0.00028,0.0003,0.00032,0.00033,0.00036,0.00042,0.0005,0.00059,0.00068,0.00076,0.00082,0.00086,0.00087,0.00087,0.00088,0.00088
21,0.00019,0.00021,0.00023,0.00023,0.00022,0.00021,0.00021,0.00023,0.00026,0.00029,0.0003,0.00031,0.00033,0.00037,0.00044,0.00052,0.00061,0.00069,0.00077,0.00083,0.00087,0.00087,0.00088,0.00088,0.00089
22,0.00016,0.0002,0.00021,0.0002,0.00019,0.00019,0.00021,0.00023,0.00027,0.00029,0.0003,0.00031,0.00034,0.00039,0.00047,0.00055,0.00062,0.0007,0.00078,0.00084,0.00087,0.00088,0.00088,0.00089,0.00092
23,0.00015,0.00019,0.00019,0.00018,0.00018,0.00019,0.00021,0.00024,0.00027,0.00029,0.0003,0.00032,0.00036,0.00042,0.0005,0.00058,0.00064,0.0007,0.00078,0.00084,0.00088,0.00088,0.00089,0.00092,0.00096
24,0.00013,0.00016,0.00016,0.00016,0.00017,0.00019,0.00022,0.00025,0.00028,0.0003,0.00032,0.00034,0.00039,0.00047,0.00054,0.0006,0.00064,0.00071,0.00078,0.00084,0.00088,0.00089,0.00092,0.00096,0.00101
25,0.00011,0.00014,0.00015,0.00015,0.00017,0.0002,0.00022,0.00026,0.00029,0.00031,0.00034,0.00037,0.00044,0.00051,0.00057,0.00061,0.00066,0.00072,0.00079,0.00084,0.00089,0.00092,0.00096,0.00101,0.00109
26,9E-05,0.00013,0.00014,0.00015,0.00017,0.0002,0.00023,0.00026,0.0003,0.00033,0.00037,0.00042,0.00049,0.00056,0.0006,0.00063,0.00067,0.00074,0.0008,0.00087,0.00092,0.00096,0.00101,0.00109,0.00117
27,8E-05,0.00012,0.00014,0.00016,0.00018,0.0002,0.00023,0.00028,0.00032,0.00036,0.00041,0.00047,0.00054,0.0006,0.00063,0.00066,0.0007,0.00076,0.00083,0.0009,0.00096,0.00101,0.00109,0.00117,0.00128
28,7E-05,0.00012,0.00014,0.00016,0.00018,0.00021,0.00025,0.0003,0.00035,0.0004,0.00045,0.00051,0.00058,0.00063,0.00065,0.00068,0.00073,0.0008,0.00087,0.00095,0.00101,0.00109,0.00117,0.00128,0.00142
29,7E-05,0.00012,0.00015,0.00016,0.00018,0.00022,0.00026,0.00032,0.00038,0.00043,0.00049,0.00055,0.00061,0.00065,0.00067,0.00071,0.00077,0.00084,0.00092,0.001,0.00109,0.00117,0.00128,0.00142,0.0016
30,7E-05,0.00013,0.00015,0.00016,0.00019,0.00023,0.00029,0.00035,0.00041,0.00046,0.00052,0.00058,0.00064,0.00067,0.0007,0.00075,0.00083,0.00092,0.001,0.00108,0.00117,0.00128,0.00142,0.0016,0.0018
31,7E-05,0.00013,0.00016,0.00018,0.00021,0.00026,0.00032,0.00038,0.00043,0.00049,0.00054,0.0006,0.00065,0.0007,0.00074,0.00081,0.0009,0.00099,0.00107,0.00116,0.00128,0.00142,0.0016,0.0018,0.002
32,8E-05,0.00014,0.00017,0.00019,0.00024,0.0003,0.00035,0.00041,0.00046,0.00051,0.00056,0.00062,0.00069,0.00074,0.0008,0.00088,0.00098,0.00106,0.00116,0.00127,0.00142,0.0016,0.0018,0.002,0.0022
33,8E-05,0.00015,0.00018,0.00022,0.00028,0.00033,0.00038,0.00044,0.00047,0.00052,0.00058,0.00064,0.00072,0.0008,0.00088,0.00096,0.00106,0.00116,0.00126,0.00141,0.0016,0.0018,0.002,0.0022,0.00239
34,8E-05,0.00015,0.00021,0.00025,0.00031,0.00036,0.00042,0.00046,0.00049,0.00054,0.0006,0.00068,0.00078,0.00087,0.00096,0.00105,0.00115,0.00126,0.0014,0.00158,0.0018,0.002,0.0022,0.00239,0.00259
35,9E-05,0.00016,0.00023,0.0003,0.00035,0.00039,0.00045,0.00049,0.00051,0.00056,0.00063,0.00074,0.00086,0.00096,0.00104,0.00114,0.00125,0.00139,0.00156,0.00177,0.002,0.0022,0.00239,0.00259,0.00279
36,0.0001,0.00017,0.00026,0.00032,0.00037,0.00043,0.00048,0.00051,0.00054,0.00059,0.00069,0.00081,0.00095,0.00104,0.00114,0.00124,0.00136,0.00152,0.00172,0.00196,0.0022,0.00239,0.00259,0.00279,0.00303
37,0.00011,0.00018,0.00028,0.00037,0.00042,0.00048,0.00051,0.00053,0.00057,0.00065,0.00076,0.0009,0.00103,0.00113,0.00123,0.00134,0.00148,0.00166,0.00189,0.00215,0.00239,0.00259,0.00279,0.00303,0.0033
38,0.00012,0.00019,0.0003,0.0004,0.00046,0.0005,0.00053,0.00056,0.00062,0.00072,0.00085,0.00099,0.00112,0.00123,0.00132,0.00145,0.00161,0.00182,0.00207,0.00234,0.00259,0.00279,0.00303,0.0033,0.00362
39,0.00013,0.0002,0.00032,0.00041,0.00049,0.00053,0.00056,0.00061,0.00068,0.0008,0.00094,0.00108,0.00121,0.00132,0.00142,0.00157,0.00175,0.00198,0.00224,0.00253,0.00279,0.00303,0.0033,0.00362,0.00398
40,0.00013,0.00021,0.00032,0.00042,0.00051,0.00055,0.00061,0.00067,0.00075,0.00089,0.00104,0.00117,0.0013,0.00142,0.00154,0.0017,0.00191,0.00215,0.00242,0.00273,0.00303,0.0033,0.00362,0.00398,0.00439
41,0.00014,0.00022,0.00033,0.00044,0.00054,0.0006,0.00066,0.00073,0.00083,0.00099,0.00113,0.00126,0.0014,0.00153,0.00168,0.00186,0.00208,0.00233,0.00262,0.00296,0.0033,0.00362,0.00398,0.00439,0.00483
42,0.00015,0.00024,0.00034,0.00046,0.00059,0.00066,0.00071,0.00079,0.00092,0.00108,0.00122,0.00135,0.0015,0.00166,0.00184,0.00204,0.00227,0.00253,0.00285,0.00323,0.00362,0.00398,0.00439,0.00483,0.0053
43,0.00016,0.00025,0.00035,0.00051,0.00063,0.00071,0.00076,0.00086,0.001,0.00117,0.00131,0.00145,0.00163,0.00183,0.00203,0.00225,0.0025,0.0028,0.00315,0.00355,0.00398,0.00439,0.00483,0.0053,0.00581
