Table Name:,2017 Loaded CSO Composite Female ALB ,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3290,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Joint American Academy of Actuaries' Life Experience Committee and Society of Actuaries Preferred Mortality Oversight Group CSO Development Subgroup, ""Report on the 2017 CSO  and on the 2017 CSO Preferred Structure Table Development"", American Academy of Actuaries, (2015). Appendix B (Select) and Appendix E (Ultimate). Accessed: February, 2016 from https://www.soa.org/resources/experience-studies/2015/2017-cso-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Composite, Female, Age Last Birthday. Minimum Age: 0. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"The 2017 Commissioners Standard Ordinary Tables (CSO) are a series of mortality tables developed for regulatory uses including CRVM, net premium reserves and non-forfeiture determination. The tables were based on life insurance mortality experience from 2002 to 2009, projected with improvement to 2017.  The tables include a margin to cover the variation of individual company’s mortality around the industry mean. Table uploaded: 02/2016. Select rates at ages 0-17 for certain durations and ultimate rates at ages 18-27, 29, 30, 32 and 37 were modified 09/2016. Data verified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,CSO/CET,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Composite, Female, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.00026,0.00014,9E-05,8E-05,8E-05,9E-05,9E-05,8E-05,8E-05,8E-05,9E-05,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004
1,0.00014,9E-05,8E-05,8E-05,9E-05,9E-05,8E-05,8E-05,8E-05,9E-05,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004
2,9E-05,8E-05,8E-05,9E-05,9E-05,8E-05,8E-05,8E-05,9E-05,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041
3,8E-05,8E-05,9E-05,9E-05,8E-05,8E-05,8E-05,9E-05,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041
4,8E-05,9E-05,9E-05,8E-05,8E-05,8E-05,9E-05,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043
5,9E-05,9E-05,8E-05,8E-05,8E-05,9E-05,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046
6,9E-05,8E-05,8E-05,8E-05,9E-05,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049
7,8E-05,8E-05,8E-05,9E-05,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049,0.00053
8,8E-05,8E-05,9E-05,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049,0.00053,0.00057
9,8E-05,9E-05,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049,0.00053,0.00057,0.00062
10,9E-05,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049,0.00053,0.00057,0.00062,0.00069
11,9E-05,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049,0.00053,0.00057,0.00062,0.00069,0.00077
12,8E-05,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049,0.00053,0.00057,0.00062,0.00069,0.00077,0.00086
13,9E-05,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049,0.00053,0.00057,0.00062,0.00069,0.00077,0.00086,0.00095
14,0.00015,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049,0.00053,0.00057,0.00062,0.00069,0.00077,0.00086,0.00095,0.00104
15,0.00023,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049,0.00053,0.00057,0.00062,0.00069,0.00077,0.00086,0.00095,0.00104,0.00111
16,0.0003,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049,0.00053,0.00057,0.00062,0.00069,0.00077,0.00086,0.00095,0.00104,0.00111,0.00117
17,0.00033,0.00033,0.00033,0.00032,0.00032,0.00033,0.00036,0.0004,0.0004,0.00041,0.00041,0.00043,0.00046,0.00049,0.00053,0.00057,0.00062,0.00069,0.00077,0.00086,0.00095,0.00104,0.00111,0.00117,0.00122
18,0.00033,0.00033,0.00032,0.00032,0.00033,0.00034,0.00035,0.00035,0.00035,0.00037,0.00039,0.00041,0.00044,0.00046,0.00051,0.00059,0.00068,0.00077,0.00086,0.00095,0.00104,0.00111,0.00117,0.00122,0.00126
19,0.00031,0.0003,0.0003,0.0003,0.00032,0.00033,0.00033,0.00033,0.00034,0.00037,0.0004,0.00042,0.00044,0.00047,0.00055,0.00064,0.00075,0.00086,0.00095,0.00104,0.00111,0.00117,0.00122,0.00126,0.00131
20,0.00026,0.00027,0.00028,0.00029,0.00031,0.00031,0.00031,0.00032,0.00035,0.00038,0.00041,0.00043,0.00045,0.00051,0.0006,0.0007,0.00081,0.00093,0.00103,0.00111,0.00117,0.00122,0.00126,0.00131,0.00136
21,0.00021,0.00025,0.00027,0.00028,0.00028,0.00028,0.00029,0.00032,0.00036,0.00039,0.00042,0.00043,0.00048,0.00056,0.00065,0.00077,0.00088,0.00098,0.00108,0.00116,0.00122,0.00126,0.00131,0.00136,0.00144
22,0.00019,0.00024,0.00026,0.00026,0.00026,0.00027,0.0003,0.00034,0.00037,0.0004,0.00042,0.00047,0.00053,0.00062,0.00073,0.00083,0.00093,0.00102,0.00112,0.00121,0.00126,0.00131,0.00136,0.00144,0.00155
23,0.00018,0.00023,0.00023,0.00023,0.00024,0.00027,0.00031,0.00035,0.00039,0.00041,0.00046,0.00052,0.00059,0.00069,0.0008,0.00089,0.00097,0.00106,0.00116,0.00125,0.00131,0.00136,0.00144,0.00155,0.00167
24,0.00017,0.0002,0.00021,0.00022,0.00024,0.00028,0.00032,0.00036,0.0004,0.00044,0.0005,0.00056,0.00065,0.00076,0.00086,0.00094,0.00102,0.0011,0.0012,0.00129,0.00136,0.00144,0.00155,0.00167,0.0018
25,0.00015,0.00018,0.0002,0.00022,0.00025,0.00029,0.00033,0.00037,0.00042,0.00048,0.00054,0.00062,0.00072,0.00083,0.00091,0.00098,0.00106,0.00115,0.00124,0.00134,0.00144,0.00155,0.00167,0.0018,0.00194
26,0.00013,0.00017,0.0002,0.00022,0.00025,0.00029,0.00034,0.00039,0.00045,0.00052,0.00059,0.00068,0.00079,0.00089,0.00096,0.00103,0.00111,0.0012,0.0013,0.00142,0.00155,0.00167,0.0018,0.00194,0.00211
27,0.00012,0.00017,0.0002,0.00023,0.00026,0.0003,0.00035,0.00041,0.00048,0.00056,0.00065,0.00075,0.00086,0.00094,0.001,0.00107,0.00116,0.00126,0.00138,0.00152,0.00167,0.0018,0.00194,0.00211,0.00228
28,0.00011,0.00017,0.0002,0.00023,0.00027,0.00031,0.00037,0.00045,0.00053,0.00061,0.0007,0.00081,0.00091,0.00098,0.00104,0.00112,0.00121,0.00133,0.00147,0.00163,0.0018,0.00194,0.00211,0.00228,0.00248
29,0.00012,0.00018,0.00021,0.00024,0.00028,0.00034,0.00041,0.0005,0.00058,0.00067,0.00076,0.00086,0.00095,0.00102,0.00109,0.00117,0.00129,0.00143,0.00158,0.00176,0.00194,0.00211,0.00228,0.00248,0.00271
30,0.00012,0.00019,0.00022,0.00026,0.00031,0.00038,0.00046,0.00055,0.00063,0.00072,0.0008,0.0009,0.00099,0.00106,0.00114,0.00125,0.00139,0.00155,0.00171,0.00189,0.00211,0.00228,0.00248,0.00271,0.00295
31,0.00012,0.0002,0.00024,0.00028,0.00034,0.00042,0.00051,0.0006,0.00068,0.00076,0.00084,0.00093,0.00104,0.00112,0.00121,0.00134,0.00151,0.00167,0.00184,0.00204,0.00228,0.00248,0.00271,0.00295,0.00322
32,0.00013,0.00021,0.00026,0.00032,0.00039,0.00047,0.00056,0.00064,0.00071,0.00079,0.00087,0.00097,0.00109,0.00119,0.00131,0.00146,0.00163,0.00179,0.00198,0.0022,0.00248,0.00271,0.00295,0.00322,0.00353
33,0.00014,0.00022,0.00029,0.00037,0.00045,0.00052,0.00061,0.00068,0.00075,0.00082,0.00091,0.00102,0.00116,0.00129,0.00142,0.00158,0.00175,0.00193,0.00213,0.0024,0.00271,0.00295,0.00322,0.00353,0.00387
34,0.00015,0.00023,0.00033,0.00042,0.0005,0.00057,0.00066,0.00072,0.00078,0.00086,0.00096,0.0011,0.00126,0.00141,0.00155,0.00171,0.00189,0.00209,0.00233,0.00262,0.00295,0.00322,0.00353,0.00387,0.00426
35,0.00016,0.00025,0.00037,0.00047,0.00055,0.00062,0.00071,0.00076,0.00082,0.0009,0.00104,0.00121,0.00139,0.00154,0.00169,0.00186,0.00205,0.00228,0.00256,0.00288,0.00322,0.00353,0.00387,0.00426,0.00469
36,0.00018,0.00028,0.00041,0.00052,0.0006,0.00068,0.00075,0.0008,0.00086,0.00099,0.00116,0.00133,0.00152,0.00168,0.00184,0.00202,0.00224,0.0025,0.00282,0.00317,0.00353,0.00387,0.00426,0.00469,0.00519
37,0.00019,0.0003,0.00044,0.00057,0.00065,0.00073,0.00078,0.00084,0.00094,0.00111,0.00128,0.00147,0.00167,0.00184,0.00201,0.00221,0.00246,0.00275,0.0031,0.00348,0.00387,0.00426,0.00469,0.00519,0.00575
38,0.00021,0.00032,0.00047,0.0006,0.0007,0.00077,0.00083,0.00092,0.00106,0.00123,0.00142,0.00161,0.00182,0.002,0.00219,0.00242,0.00271,0.00304,0.00342,0.00383,0.00426,0.00469,0.00519,0.00575,0.00639
39,0.00022,0.00034,0.00049,0.00063,0.00074,0.00081,0.0009,0.00103,0.00117,0.00136,0.00157,0.00177,0.00198,0.00218,0.0024,0.00267,0.00298,0.00334,0.00376,0.00422,0.00469,0.00519,0.00575,0.00639,0.0071
40,0.00023,0.00035,0.00051,0.00066,0.00078,0.00088,0.001,0.00113,0.00129,0.00151,0.00172,0.00193,0.00216,0.00239,0.00263,0.00294,0.00329,0.00368,0.00414,0.00465,0.00519,0.00575,0.00639,0.0071,0.00789
41,0.00024,0.00037,0.00053,0.00069,0.00084,0.00097,0.00109,0.00123,0.00142,0.00166,0.00188,0.0021,0.00235,0.00261,0.0029,0.00325,0.00363,0.00406,0.00455,0.00514,0.00575,0.00639,0.0071,0.00789,0.00877
42,0.00026,0.00039,0.00056,0.00075,0.00092,0.00105,0.00118,0.00135,0.00156,0.00181,0.00204,0.00228,0.00257,0.00287,0.0032,0.00359,0.00401,0.00449,0.00504,0.00569,0.00639,0.0071,0.00789,0.00877,0.00975
43,0.00027,0.00041,0.00059,0.00083,0.00099,0.00114,0.00128,0.00147,0.00171,0.00197,0.00221,0.00248,0.00281,0.00316,0.00354,0.00397,0.00444,0.00497,0.00559,0.00631,0.0071,0.00789,0.00877,0.00975,0.01084
44,0.0003,0.00043,0.00065,0.00093,0.00108,0.00123,0.00139,0.00161,0.00187,0.00214,0.0024,0.00271,0.00309,0.0035,0.00392,0.0044,0.00491,0.00551,0.00621,0.00702,0.00789,0.00877,0.00975,0.01084,0.01203
45,0.00033,0.00045,0.00072,0.00101,0.00117,0.00134,0.00152,0.00177,0.00204,0.00233,0.00261,0.00297,0.00342,0.00388,0.00435,0.00487,0.00547,0.00615,0.00693,0.0078,0.00877,0.00975,0.01084,0.01203,0.01335
46,0.00035,0.00047,0.0008,0.0011,0.00127,0.00147,0.00167,0.00194,0.00222,0.00252,0.00284,0.00328,0.0038,0.0043,0.00483,0.00543,0.00611,0.00686,0.00771,0.00866,0.00975,0.01084,0.01203,0.01335,0.01478
47,0.00037,0.00051,0.00091,0.0012,0.0014,0.00161,0.00184,0.00213,0.00241,0.00274,0.00313,0.00364,0.00422,0.00478,0.00537,0.00606,0.00683,0.00766,0.00858,0.00963,0.01084,0.01203,0.01335,0.01478,0.01635
48,0.00039,0.00056,0.00105,0.00133,0.00155,0.00177,0.00204,0.00232,0.00263,0.00301,0.00344,0.00402,0.00467,0.0053,0.00595,0.00673,0.0076,0.00851,0.00952,0.0107,0.01203,0.01335,0.01478,0.01635,0.01806
49,0.00041,0.00066,0.0012,0.00148,0.00171,0.00196,0.00225,0.00254,0.00288,0.00331,0.00379,0.00441,0.00512,0.00582,0.00655,0.00743,0.0084,0.0094,0.01053,0.01182,0.01335,0.01478,0.01635,0.01806,0.01997
50,0.00043,0.0008,0.00135,0.00164,0.00189,0.00217,0.00246,0.00279,0.00317,0.00365,0.00418,0.00484,0.00558,0.00634,0.00718,0.00817,0.00923,0.01032,0.01157,0.013,0.01478,0.01635,0.01806,0.01997,0.0221
51,0.00045,0.00096,0.00149,0.0018,0.00208,0.00238,0.00271,0.00307,0.00351,0.00405,0.00461,0.0053,0.00608,0.00692,0.00787,0.00897,0.0101,0.0113,0.01268,0.01433,0.01635,0.01806,0.01997,0.0221,0.02451
52,0.00047,0.0011,0.0016,0.00195,0.00228,0.00262,0.00298,0.0034,0.0039,0.00449,0.00508,0.00581,0.00663,0.00757,0.00864,0.00984,0.01107,0.01241,0.01398,0.01582,0.01806,0.01997,0.0221,0.02451,0.02725
53,0.0005,0.00119,0.0017,0.00211,0.00251,0.00289,0.00331,0.00378,0.00435,0.00499,0.0056,0.00636,0.00726,0.00831,0.00951,0.01082,0.01217,0.01371,0.01548,0.01755,0.01997,0.0221,0.02451,0.02725,0.03034
54,0.00052,0.00124,0.0018,0.00227,0.00277,0.00321,0.00369,0.00422,0.00485,0.00552,0.00615,0.00696,0.00797,0.00916,0.01049,0.01191,0.01342,0.01517,0.01721,0.01962,0.0221,0.02451,0.02725,0.03034,0.03381
55,0.00055,0.00129,0.00189,0.00243,0.00307,0.00357,0.00411,0.0047,0.00536,0.00605,0.0067,0.00759,0.00873,0.01007,0.01154,0.01312,0.01487,0.01685,0.01917,0.02185,0.02451,0.02725,0.03034,0.03381,0.03774
56,0.00057,0.00134,0.00196,0.00263,0.00341,0.00398,0.00457,0.00519,0.00587,0.00654,0.00721,0.00822,0.00952,0.01103,0.01266,0.01449,0.0165,0.01871,0.02126,0.02423,0.02725,0.03034,0.03381,0.03774,0.04232
57,0.0006,0.0014,0.00206,0.0029,0.00381,0.00443,0.00506,0.00569,0.00635,0.00703,0.00774,0.00889,0.01038,0.01207,0.01392,0.01601,0.01827,0.02073,0.02358,0.02692,0.03034,0.03381,0.03774,0.04232,0.04767
58,0.00064,0.00146,0.00218,0.00326,0.00426,0.00491,0.00555,0.00616,0.00681,0.00752,0.00833,0.00967,0.01138,0.01327,0.01538,0.01772,0.02026,0.023,0.02619,0.02992,0.03381,0.03774,0.04232,0.04767,0.05373
59,0.00069,0.00154,0.00239,0.00366,0.00474,0.00539,0.006,0.0066,0.00726,0.00805,0.00901,0.01059,0.01251,0.01462,0.01698,0.01958,0.02236,0.02534,0.02894,0.03313,0.03774,0.04232,0.04767,0.05373,0.06066
60,0.00078,0.00163,0.00271,0.00407,0.00521,0.00584,0.00642,0.00703,0.00775,0.00867,0.00987,0.01168,0.01381,0.01618,0.01877,0.02159,0.0246,0.0279,0.03201,0.03687,0.04232,0.04767,0.05373,0.06066,0.06859
61,0.00089,0.00176,0.00311,0.00443,0.00565,0.00624,0.00682,0.00749,0.00833,0.00946,0.01089,0.01297,0.01538,0.018,0.02082,0.02391,0.0273,0.03128,0.03614,0.04169,0.04767,0.05373,0.06066,0.06859,0.07766
62,0.00103,0.00197,0.00357,0.00483,0.00602,0.00663,0.00728,0.00807,0.0091,0.01043,0.01213,0.01454,0.01721,0.02007,0.02317,0.02662,0.03072,0.03549,0.04131,0.04728,0.05373,0.06066,0.06859,0.07766,0.08775
63,0.00117,0.00227,0.00402,0.00527,0.00636,0.00707,0.00789,0.00888,0.01004,0.01161,0.01362,0.01633,0.01918,0.02228,0.02573,0.02995,0.03494,0.04073,0.04695,0.05341,0.06066,0.06859,0.07766,0.08775,0.09876
64,0.0013,0.00268,0.00442,0.00564,0.00671,0.00764,0.00869,0.0098,0.01115,0.01311,0.01539,0.01823,0.02119,0.0245,0.02843,0.03379,0.03966,0.04632,0.05271,0.0599,0.06859,0.07766,0.08775,0.09876,0.11084
65,0.00143,0.003,0.00477,0.00597,0.00714,0.00834,0.00956,0.01083,0.01256,0.0149,0.01737,0.02022,0.02336,0.02717,0.03178,0.03808,0.04517,0.0519,0.05899,0.06762,0.07766,0.08775,0.09876,0.11084,0.12397
66,0.00157,0.00318,0.00508,0.0063,0.00764,0.0091,0.01049,0.01211,0.01425,0.01693,0.01954,0.02257,0.02599,0.03052,0.03597,0.04317,0.0514,0.05847,0.06711,0.07717,0.08775,0.09876,0.11084,0.12397,0.13792
67,0.00172,0.00335,0.00538,0.00672,0.00828,0.00993,0.01163,0.01364,0.01615,0.01914,0.02194,0.02535,0.02953,0.0348,0.0407,0.04898,0.0579,0.06657,0.07664,0.08722,0.09876,0.11084,0.12397,0.13792,0.15267
68,0.00189,0.00352,0.00569,0.00729,0.00902,0.01094,0.01297,0.01533,0.0182,0.02154,0.02466,0.02883,0.03398,0.03981,0.04675,0.05607,0.06584,0.0759,0.08644,0.09796,0.11084,0.12397,0.13792,0.15267,0.16839
