Table Name:,2017 Loaded CSO Smoker Distinct Smoker Male ANB ,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3293,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Joint American Academy of Actuaries' Life Experience Committee and Society of Actuaries Preferred Mortality Oversight Group CSO Development Subgroup, ""Report on the 2017 CSO  and on the 2017 CSO Preferred Structure Table Development"", American Academy of Actuaries, (2015). Appendix A (Select) and Appendix D (Ultimate). Accessed: February, 2016 from https://www.soa.org/resources/experience-studies/2015/2017-cso-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Smoker Distinct Smoker, Male, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"The 2017 Commissioners Standard Ordinary Tables (CSO) are a series of mortality tables developed for regulatory uses including CRVM, net premium reserves and non-forfeiture determination. The tables were based on life insurance mortality experience from 2002 to 2009, projected with improvement to 2017.  The tables include a margin to cover the variation of individual company’s mortality around the industry mean. Table uploaded: 02/2016. Select rates at ages 0-17 for certain durations and ultimate rates at ages 18-27, 29, 30, 32 and 37 were modified 09/2016. Data verified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,CSO/CET,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Smoker Distinct Smoker, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Select Age: 18. Maximum Select Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00083,0.00086,0.0009,0.00093,0.00096,0.00099,0.00102,0.00105,0.00105,0.00103,0.00101,0.001,0.001,0.00104,0.00111,0.00119,0.00128,0.00137,0.0015,0.00162,0.00177,0.002,0.00225,0.00252,0.00279
19,0.00078,0.00081,0.00084,0.00087,0.0009,0.00094,0.00097,0.00097,0.00097,0.00096,0.00095,0.00096,0.001,0.00106,0.00114,0.00123,0.00133,0.00145,0.00157,0.00175,0.00198,0.00224,0.0025,0.00277,0.00301
20,0.00075,0.00078,0.0008,0.00083,0.00085,0.00088,0.0009,0.0009,0.0009,0.0009,0.00091,0.00095,0.00102,0.0011,0.00119,0.00128,0.0014,0.00152,0.00174,0.00196,0.00222,0.00249,0.00275,0.00299,0.00319
21,0.0007,0.00072,0.00075,0.00077,0.00079,0.00082,0.00084,0.00084,0.00084,0.00086,0.00091,0.00098,0.00106,0.00115,0.00124,0.00136,0.00147,0.00172,0.00194,0.0022,0.00247,0.00274,0.00297,0.00317,0.00333
22,0.00065,0.00067,0.00068,0.0007,0.00075,0.00077,0.00078,0.00079,0.00082,0.00086,0.00093,0.00101,0.00111,0.0012,0.00132,0.00143,0.0017,0.00192,0.00217,0.00245,0.00272,0.00295,0.00315,0.00331,0.00355
23,0.00059,0.0006,0.00062,0.00067,0.00071,0.00073,0.00074,0.00077,0.00082,0.00089,0.00097,0.00106,0.00116,0.00127,0.00139,0.00169,0.00189,0.00214,0.00242,0.00269,0.00293,0.00314,0.00329,0.00353,0.00378
24,0.00055,0.00057,0.0006,0.00064,0.00067,0.00069,0.00072,0.00077,0.00085,0.00093,0.00102,0.00111,0.00123,0.00134,0.00165,0.00186,0.00211,0.00238,0.00266,0.00291,0.00312,0.00328,0.00351,0.00376,0.00404
25,0.0005,0.00055,0.00058,0.00061,0.00064,0.00068,0.00073,0.0008,0.00089,0.00098,0.00107,0.00118,0.00129,0.00158,0.00182,0.00207,0.00234,0.00262,0.00288,0.0031,0.00327,0.00351,0.00376,0.00403,0.00432
26,0.00047,0.00052,0.00055,0.00059,0.00063,0.00069,0.00076,0.00085,0.00094,0.00103,0.00114,0.00124,0.00149,0.00175,0.00201,0.00229,0.00258,0.00285,0.00308,0.00327,0.00351,0.00375,0.00403,0.00432,0.00465
27,0.00043,0.0005,0.00054,0.00058,0.00064,0.00072,0.0008,0.0009,0.00099,0.00111,0.00121,0.00137,0.00165,0.00194,0.00223,0.00252,0.0028,0.00304,0.00324,0.00351,0.00374,0.00402,0.00431,0.00464,0.00502
28,0.00039,0.00048,0.00053,0.0006,0.00067,0.00076,0.00085,0.00095,0.00107,0.00118,0.00133,0.00152,0.00184,0.00215,0.00244,0.00272,0.00298,0.00319,0.00348,0.00374,0.00401,0.00431,0.00464,0.00501,0.00544
29,0.00038,0.00049,0.00057,0.00065,0.00074,0.00084,0.00093,0.00103,0.00114,0.00129,0.00147,0.00168,0.00202,0.00233,0.0026,0.00287,0.00312,0.00342,0.00373,0.004,0.0043,0.00463,0.00501,0.00543,0.00591
30,0.00037,0.00051,0.00063,0.00073,0.00083,0.00092,0.001,0.0011,0.00124,0.00143,0.00163,0.00185,0.00218,0.00248,0.00273,0.00299,0.00333,0.00366,0.004,0.00429,0.00463,0.005,0.00543,0.0059,0.00643
31,0.00038,0.00054,0.0007,0.00081,0.00091,0.001,0.00108,0.0012,0.00138,0.00159,0.0018,0.00201,0.00233,0.0026,0.00284,0.00319,0.00357,0.00392,0.00429,0.00462,0.005,0.00542,0.0059,0.00643,0.00702
32,0.00038,0.00057,0.00076,0.00088,0.00099,0.00107,0.00117,0.00132,0.00153,0.00176,0.00197,0.00217,0.00246,0.00272,0.00303,0.00342,0.00383,0.00421,0.00462,0.00499,0.00542,0.00589,0.00642,0.00701,0.0077
33,0.00039,0.00061,0.00081,0.00094,0.00106,0.00116,0.00128,0.00147,0.00169,0.00193,0.00213,0.0023,0.00258,0.00291,0.00325,0.00367,0.00412,0.00454,0.00499,0.00541,0.00589,0.00642,0.00701,0.00769,0.00846
34,0.0004,0.00062,0.00085,0.00098,0.00111,0.00125,0.0014,0.00162,0.00185,0.00208,0.00219,0.00243,0.00277,0.00313,0.00351,0.00396,0.00445,0.00491,0.00541,0.00588,0.00641,0.007,0.00768,0.00845,0.00934
