Table Name:,2017 Loaded CSO Preferred Structure Smoker Preferred Male ALB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3315,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Joint American Academy of Actuaries' Life Experience Committee and Society of Actuaries Preferred Mortality Oversight Group CSO Development Subgroup, ""Report on the 2017 CSO  and on the 2017 CSO Preferred Structure Table Development"", American Academy of Actuaries, (2015). Appendix C. Accessed: February, 2016 from https://www.soa.org/resources/experience-studies/2015/2017-cso-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Smoker, Preferred, Male, Age Last Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"The 2017 Commissioners Standard Ordinary Tables (CSO) are a series of mortality tables developed for regulatory uses including CRVM, net premium reserves and non-forfeiture determination. The tables were based on life insurance mortality experience from 2002 to 2009, projected with improvement to 2017.  The tables include a margin to cover the variation of individual company’s mortality around the industry mean. Table uploaded: 02/2016. Select rates at ages 0-17 for certain durations and ultimate rates at ages 18-27, 29, 30, 32 and 37 were modified 09/2016. Data verified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,CSO/CET,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Smoker, Preferred, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Select Age: 18. Maximum Select Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00079,0.00082,0.00085,0.00088,0.00091,0.00094,0.00097,0.00099,0.00099,0.00097,0.00096,0.00096,0.00098,0.00103,0.0011,0.00118,0.00127,0.00138,0.0015,0.00165,0.00183,0.00207,0.00233,0.00259,0.00284
19,0.00075,0.00078,0.0008,0.00083,0.00086,0.00089,0.00091,0.00092,0.00091,0.0009,0.00091,0.00093,0.00098,0.00106,0.00114,0.00123,0.00133,0.00145,0.00162,0.00181,0.00205,0.00231,0.00257,0.00281,0.00303
20,0.00071,0.00073,0.00076,0.00078,0.0008,0.00083,0.00085,0.00085,0.00085,0.00086,0.00089,0.00094,0.00101,0.0011,0.00119,0.00129,0.0014,0.00158,0.00179,0.00203,0.00229,0.00255,0.00279,0.003,0.00318
21,0.00066,0.00068,0.0007,0.00072,0.00075,0.00078,0.00079,0.00079,0.00081,0.00084,0.00089,0.00097,0.00105,0.00114,0.00125,0.00136,0.00154,0.00177,0.002,0.00226,0.00252,0.00277,0.00298,0.00315,0.00335
22,0.0006,0.00061,0.00063,0.00067,0.00071,0.00073,0.00074,0.00076,0.00079,0.00085,0.00092,0.00101,0.0011,0.0012,0.00131,0.00151,0.00175,0.00197,0.00223,0.00249,0.00274,0.00296,0.00313,0.00332,0.00356
23,0.00055,0.00057,0.00059,0.00064,0.00067,0.00069,0.00071,0.00075,0.00081,0.00088,0.00096,0.00105,0.00115,0.00126,0.00147,0.00172,0.00194,0.00219,0.00246,0.00271,0.00293,0.0031,0.0033,0.00353,0.00379
24,0.00051,0.00054,0.00057,0.00061,0.00063,0.00066,0.0007,0.00076,0.00084,0.00092,0.00101,0.0011,0.00121,0.00141,0.00167,0.0019,0.00215,0.00242,0.00267,0.0029,0.00308,0.00328,0.00351,0.00377,0.00404
25,0.00047,0.00052,0.00054,0.00058,0.00061,0.00066,0.00072,0.00079,0.00088,0.00097,0.00106,0.00116,0.00134,0.0016,0.00184,0.0021,0.00237,0.00263,0.00287,0.00306,0.00327,0.0035,0.00375,0.00402,0.00432
26,0.00043,0.00049,0.00052,0.00056,0.00061,0.00067,0.00075,0.00084,0.00093,0.00103,0.00113,0.00125,0.00151,0.00177,0.00204,0.00231,0.00258,0.00282,0.00303,0.00325,0.00348,0.00373,0.00401,0.00431,0.00465
27,0.00039,0.00047,0.00051,0.00056,0.00063,0.00071,0.00079,0.00088,0.00099,0.00109,0.00122,0.00138,0.00167,0.00196,0.00223,0.0025,0.00276,0.00298,0.00322,0.00347,0.00371,0.00399,0.00429,0.00463,0.00501
28,0.00037,0.00046,0.00053,0.0006,0.00068,0.00076,0.00085,0.00094,0.00105,0.00118,0.00134,0.00153,0.00184,0.00213,0.0024,0.00266,0.00291,0.00315,0.00344,0.00369,0.00397,0.00427,0.00461,0.00499,0.00542
29,0.00036,0.00047,0.00057,0.00066,0.00075,0.00083,0.00092,0.00101,0.00113,0.00129,0.00148,0.00168,0.002,0.00228,0.00254,0.00278,0.00307,0.00337,0.00368,0.00395,0.00425,0.00459,0.00497,0.0054,0.00588
30,0.00035,0.0005,0.00063,0.00073,0.00082,0.00091,0.00098,0.00109,0.00124,0.00143,0.00163,0.00183,0.00214,0.00241,0.00264,0.00292,0.00327,0.00359,0.00393,0.00423,0.00457,0.00495,0.00538,0.00585,0.00639
31,0.00036,0.00053,0.00069,0.0008,0.0009,0.00097,0.00106,0.00119,0.00137,0.00158,0.00178,0.00197,0.00226,0.00251,0.00277,0.00312,0.00349,0.00384,0.00421,0.00454,0.00492,0.00535,0.00583,0.00637,0.00697
32,0.00036,0.00055,0.00073,0.00086,0.00097,0.00105,0.00115,0.00131,0.00151,0.00174,0.00193,0.0021,0.00237,0.00264,0.00296,0.00333,0.00374,0.00412,0.00452,0.0049,0.00533,0.00581,0.00634,0.00694,0.00764
