Table Name:,2017 Loaded CSO Preferred Structure Smoker Residual Standard Male ALB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3316,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Joint American Academy of Actuaries' Life Experience Committee and Society of Actuaries Preferred Mortality Oversight Group CSO Development Subgroup, ""Report on the 2017 CSO  and on the 2017 CSO Preferred Structure Table Development"", American Academy of Actuaries, (2015). Appendix C. Accessed: February, 2016 from https://www.soa.org/resources/experience-studies/2015/2017-cso-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Smoker, Residual Standard, Male, Age Last Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"The 2017 Commissioners Standard Ordinary Tables (CSO) are a series of mortality tables developed for regulatory uses including CRVM, net premium reserves and non-forfeiture determination. The tables were based on life insurance mortality experience from 2002 to 2009, projected with improvement to 2017.  The tables include a margin to cover the variation of individual company’s mortality around the industry mean. Table uploaded: 02/2016. Select rates at ages 0-17 for certain durations and ultimate rates at ages 18-27, 29, 30, 32 and 37 were modified 09/2016. Data verified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,CSO/CET,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Smoker, Residual Standard, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Select Age: 18. Maximum Select Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.0009,0.00094,0.00097,0.00101,0.00103,0.00107,0.00111,0.00112,0.00112,0.0011,0.00109,0.00108,0.00111,0.00117,0.00125,0.00134,0.00144,0.00157,0.0017,0.00187,0.00208,0.00235,0.00264,0.00294,0.00322
19,0.00085,0.00089,0.00091,0.00095,0.00098,0.00101,0.00104,0.00104,0.00104,0.00103,0.00103,0.00106,0.00112,0.0012,0.0013,0.0014,0.00152,0.00165,0.00184,0.00206,0.00233,0.00262,0.00292,0.0032,0.00344
20,0.00081,0.00083,0.00086,0.00089,0.00091,0.00095,0.00097,0.00097,0.00097,0.00098,0.00101,0.00107,0.00115,0.00125,0.00135,0.00147,0.0016,0.0018,0.00204,0.00231,0.0026,0.0029,0.00318,0.00342,0.00362
21,0.00075,0.00077,0.0008,0.00082,0.00086,0.00089,0.0009,0.00091,0.00092,0.00096,0.00102,0.00111,0.0012,0.0013,0.00142,0.00155,0.00176,0.00202,0.00228,0.00258,0.00288,0.00316,0.0034,0.0036,0.00382
22,0.00069,0.0007,0.00072,0.00076,0.00081,0.00083,0.00085,0.00087,0.00091,0.00097,0.00106,0.00115,0.00126,0.00137,0.0015,0.00173,0.002,0.00226,0.00255,0.00285,0.00314,0.00338,0.00358,0.0038,0.00407
23,0.00063,0.00065,0.00067,0.00073,0.00077,0.00079,0.00081,0.00086,0.00092,0.00101,0.0011,0.00121,0.00132,0.00145,0.00169,0.00197,0.00222,0.00251,0.00282,0.00311,0.00336,0.00356,0.00378,0.00405,0.00434
24,0.00058,0.00062,0.00065,0.0007,0.00073,0.00076,0.00081,0.00087,0.00096,0.00106,0.00116,0.00127,0.0014,0.00162,0.00192,0.00218,0.00247,0.00278,0.00308,0.00334,0.00355,0.00377,0.00403,0.00432,0.00464
