Table Name:,2017 Loaded CSO Smoker Gender-Blended 80% Male ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3333,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Joint American Academy of Actuaries' Life Experience Committee and Society of Actuaries Preferred Mortality Oversight Group CSO Development Subgroup, ""Report on the 2017 CSO  and on the 2017 CSO Preferred Structure Table Development"", American Academy of Actuaries, (2015). Appendix K. Accessed: February, 2016 from https://www.soa.org/resources/experience-studies/2015/2017-cso-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Smoker Gender-Blended, 80%, Male, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"The 2017 Commissioners Standard Ordinary Tables (CSO) are a series of mortality tables developed for regulatory uses including CRVM, net premium reserves and non-forfeiture determination. The tables were based on life insurance mortality experience from 2002 to 2009, projected with improvement to 2017.  The tables include a margin to cover the variation of individual company’s mortality around the industry mean. Table uploaded: 02/2016. Select rates at ages 0-17 for certain durations and ultimate rates at ages 18-27, 29, 30, 32 and 37 were modified 09/2016. Data verified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,CSO/CET,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Smoker Gender-Blended, 80%, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Select Age: 18. Maximum Select Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00073,0.00075,0.00079,0.00081,0.00083,0.00086,0.00089,0.00092,0.00092,0.00091,0.00089,0.00089,0.0009,0.00093,0.001,0.00107,0.00118,0.00127,0.00141,0.00154,0.0017,0.00191,0.00213,0.00237,0.00261
19,0.00069,0.00071,0.00073,0.00076,0.00078,0.00083,0.00086,0.00086,0.00086,0.00085,0.00085,0.00086,0.0009,0.00096,0.00103,0.00114,0.00124,0.00136,0.0015,0.00168,0.00189,0.00212,0.00235,0.00259,0.0028
20,0.00066,0.00068,0.0007,0.00072,0.00075,0.00078,0.0008,0.0008,0.0008,0.00081,0.00082,0.00086,0.00092,0.001,0.00111,0.0012,0.00132,0.00146,0.00166,0.00187,0.00211,0.00235,0.00257,0.00279,0.00297
21,0.00061,0.00063,0.00065,0.00068,0.0007,0.00073,0.00075,0.00075,0.00076,0.00078,0.00083,0.00089,0.00097,0.00108,0.00116,0.00129,0.00141,0.00164,0.00185,0.00209,0.00233,0.00257,0.00277,0.00295,0.00311
22,0.00056,0.00058,0.0006,0.00062,0.00067,0.00069,0.0007,0.00072,0.00075,0.00079,0.00085,0.00093,0.00104,0.00113,0.00126,0.00138,0.00163,0.00183,0.00206,0.00231,0.00255,0.00276,0.00294,0.00309,0.00333
23,0.00052,0.00053,0.00055,0.0006,0.00063,0.00066,0.00067,0.00071,0.00076,0.00082,0.00089,0.001,0.0011,0.00122,0.00135,0.00162,0.00181,0.00203,0.00228,0.00252,0.00274,0.00293,0.00308,0.00331,0.00356
24,0.00049,0.00051,0.00054,0.00057,0.0006,0.00063,0.00066,0.00071,0.00079,0.00086,0.00097,0.00106,0.00119,0.0013,0.00158,0.00178,0.00201,0.00225,0.0025,0.00272,0.00291,0.00307,0.00329,0.00354,0.00382
25,0.00045,0.00049,0.00052,0.00055,0.00058,0.00063,0.00068,0.00075,0.00083,0.00093,0.00102,0.00114,0.00126,0.00152,0.00174,0.00197,0.00221,0.00246,0.00269,0.0029,0.00306,0.00329,0.00354,0.00381,0.0041
26,0.00042,0.00046,0.0005,0.00054,0.00058,0.00064,0.00071,0.0008,0.00089,0.00098,0.0011,0.00122,0.00145,0.00169,0.00192,0.00217,0.00243,0.00267,0.00288,0.00306,0.00329,0.00353,0.00381,0.0041,0.00442
27,0.00039,0.00045,0.00049,0.00054,0.0006,0.00067,0.00075,0.00085,0.00094,0.00107,0.00118,0.00135,0.00161,0.00186,0.00212,0.00238,0.00263,0.00284,0.00303,0.00329,0.00352,0.0038,0.00409,0.00441,0.00479
28,0.00035,0.00044,0.00049,0.00056,0.00063,0.00071,0.0008,0.0009,0.00103,0.00115,0.00131,0.00149,0.00178,0.00205,0.00231,0.00256,0.0028,0.00299,0.00326,0.00352,0.00379,0.00409,0.00441,0.00478,0.0052
29,0.00035,0.00045,0.00052,0.0006,0.00069,0.00079,0.00088,0.00099,0.00111,0.00126,0.00144,0.00164,0.00195,0.00222,0.00246,0.0027,0.00293,0.00321,0.0035,0.00378,0.00408,0.00441,0.00478,0.0052,0.00567
30,0.00034,0.00047,0.00058,0.00067,0.00077,0.00087,0.00095,0.00107,0.00121,0.0014,0.00159,0.0018,0.00209,0.00236,0.00258,0.00282,0.00314,0.00345,0.00377,0.00407,0.00441,0.00477,0.0052,0.00566,0.00618
31,0.00035,0.0005,0.00064,0.00075,0.00085,0.00095,0.00104,0.00117,0.00135,0.00155,0.00175,0.00194,0.00223,0.00247,0.00269,0.00302,0.00337,0.0037,0.00406,0.00439,0.00477,0.00519,0.00566,0.00618,0.00675
32,0.00036,0.00052,0.0007,0.00082,0.00093,0.00102,0.00113,0.00128,0.00149,0.0017,0.0019,0.00209,0.00236,0.0026,0.00288,0.00325,0.00363,0.004,0.00439,0.00476,0.00519,0.00565,0.00617,0.00675,0.00742
33,0.00037,0.00056,0.00075,0.00088,0.001,0.00111,0.00124,0.00142,0.00163,0.00186,0.00205,0.00222,0.00248,0.00279,0.00311,0.0035,0.00392,0.00432,0.00475,0.00517,0.00565,0.00617,0.00675,0.00741,0.00816
34,0.00038,0.00058,0.00079,0.00093,0.00106,0.0012,0.00135,0.00156,0.00177,0.00199,0.00212,0.00234,0.00267,0.00301,0.00337,0.00379,0.00425,0.00468,0.00517,0.00563,0.00616,0.00674,0.0074,0.00815,0.00902
35,0.00039,0.00061,0.00085,0.00098,0.00114,0.00129,0.00148,0.0017,0.0019,0.00207,0.00224,0.00254,0.00289,0.00326,0.00365,0.00411,0.00461,0.0051,0.00562,0.00616,0.00673,0.00739,0.00814,0.00902,0.00998
36,0.00042,0.00066,0.0009,0.00104,0.00122,0.00141,0.00162,0.00182,0.00198,0.00214,0.00246,0.00277,0.00314,0.00354,0.00397,0.00448,0.00503,0.00557,0.00615,0.00672,0.00739,0.00813,0.00902,0.00997,0.01109
37,0.00044,0.00069,0.00098,0.00115,0.00133,0.00153,0.00174,0.0019,0.00202,0.00238,0.00269,0.00302,0.00343,0.00387,0.00434,0.00489,0.00549,0.00608,0.00672,0.00738,0.00811,0.00902,0.00997,0.01109,0.01234
38,0.00047,0.00076,0.00108,0.00126,0.00145,0.00165,0.00182,0.00193,0.00227,0.00261,0.00295,0.00331,0.00376,0.00424,0.00476,0.00536,0.00601,0.00666,0.00737,0.00811,0.00901,0.00996,0.01109,0.01233,0.01376
39,0.00051,0.00083,0.00117,0.00136,0.00156,0.00174,0.00186,0.00219,0.00251,0.00288,0.00324,0.00364,0.00413,0.00468,0.00525,0.0059,0.00659,0.0073,0.0081,0.00901,0.00995,0.01108,0.01233,0.01376,0.01534
40,0.00056,0.00091,0.00127,0.00147,0.00166,0.0018,0.00211,0.00243,0.00278,0.00318,0.00358,0.00403,0.00457,0.00517,0.00579,0.0065,0.00724,0.00802,0.00901,0.00994,0.01108,0.01233,0.01376,0.01534,0.01704
41,0.00061,0.00099,0.00136,0.00157,0.00174,0.00202,0.00234,0.0027,0.00308,0.00352,0.00396,0.00446,0.00508,0.00573,0.00641,0.00716,0.00796,0.00901,0.00994,0.01107,0.01233,0.01376,0.01534,0.01703,0.01894
42,0.00066,0.00108,0.00143,0.00166,0.00192,0.00225,0.00262,0.003,0.00342,0.0039,0.00439,0.00495,0.00564,0.00636,0.00709,0.0079,0.00901,0.00993,0.01107,0.01232,0.01376,0.01534,0.01703,0.01893,0.02098
43,0.00071,0.00115,0.00151,0.00181,0.00213,0.00251,0.00291,0.00334,0.00379,0.00432,0.00488,0.00551,0.00627,0.00705,0.00787,0.00891,0.00992,0.01106,0.01232,0.01375,0.01534,0.01702,0.01891,0.02098,0.02312
44,0.00075,0.00122,0.00163,0.00199,0.00237,0.00281,0.00325,0.0037,0.0042,0.00479,0.00543,0.00614,0.00697,0.00785,0.0088,0.00991,0.01106,0.0123,0.01375,0.01532,0.01701,0.01889,0.02097,0.02311,0.02536
