Table Name:,2017 Unloaded CSO Preferred Structure Smoker Preferred Male ALB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3357,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Joint American Academy of Actuaries' Life Experience Committee and Society of Actuaries Preferred Mortality Oversight Group CSO Development Subgroup, ""Report on the 2017 CSO  and on the 2017 CSO Preferred Structure Table Development"", American Academy of Actuaries, (2015). Accessed: April, 2016 from https://www.soa.org/resources/experience-studies/2015/2017-cso-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Preferred Structure Smoker, Preferred, Male, Age Last Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"The 2017 Commissioners Standard Ordinary Tables (CSO) are a series of mortality tables developed for regulatory uses including CRVM, net premium reserves and non-forfeiture determination. The tables were based on life insurance mortality experience from 2002 to 2009, projected with improvement to 2017.  The tables include a margin to cover the variation of individual company’s mortality around the industry mean. Table uploaded: 02/2016. Select rates at ages 0-17 for certain durations and ultimate rates at ages 18-27, 29, 30, 32 and 37 were modified 09/2016. Data verified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,CSO/CET,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Preferred Structure Smoker, Preferred, Male, Select and Ultimate Table. Basis: Age Last Birthday. Minimum Select Age: 18. Maximum Select Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00064,0.00067,0.00069,0.00072,0.00074,0.00077,0.0008,0.00081,0.00081,0.0008,0.00078,0.00078,0.0008,0.00084,0.0009,0.00097,0.00105,0.00114,0.00124,0.00136,0.00151,0.00171,0.00192,0.00214,0.00235
19,0.00061,0.00063,0.00065,0.00068,0.0007,0.00072,0.00074,0.00075,0.00075,0.00074,0.00074,0.00076,0.00081,0.00087,0.00094,0.00101,0.0011,0.0012,0.00133,0.0015,0.00169,0.00191,0.00213,0.00233,0.00251
20,0.00058,0.0006,0.00062,0.00064,0.00066,0.00068,0.00069,0.0007,0.0007,0.0007,0.00073,0.00077,0.00083,0.0009,0.00098,0.00106,0.00115,0.0013,0.00148,0.00167,0.00189,0.00211,0.00231,0.00249,0.00264
21,0.00053,0.00055,0.00057,0.00059,0.00061,0.00064,0.00065,0.00065,0.00066,0.00069,0.00073,0.0008,0.00087,0.00094,0.00103,0.00112,0.00127,0.00146,0.00165,0.00187,0.00209,0.00229,0.00247,0.00262,0.00278
22,0.00049,0.0005,0.00052,0.00055,0.00058,0.0006,0.00061,0.00062,0.00065,0.0007,0.00076,0.00083,0.0009,0.00099,0.00108,0.00125,0.00144,0.00163,0.00184,0.00206,0.00227,0.00245,0.0026,0.00276,0.00296
